latitude,longitude,time,t2m,u10,v10,tp
41.981,-73.32779,1979-01-01 01:00:00,275.9994,-1.037385,2.5637856,5.7335434e-05
41.981,-73.32779,1979-01-02 01:00:00,282.3438,0.84084076,3.6306086,0.00010412974
41.981,-73.32779,1979-01-03 01:00:00,281.04626,1.3500488,-0.7416668,0.0025306658
41.981,-73.32779,1979-01-04 01:00:00,260.51526,2.130743,0.36060715,0.0
41.981,-73.32779,1979-01-05 01:00:00,264.20703,1.9927063,1.3783203,6.036316e-08
41.981,-73.32779,1979-01-06 01:00:00,262.55542,-0.21211457,0.49012232,0.0
41.981,-73.32779,1979-01-07 01:00:00,267.94702,0.600209,0.526145,1.16959545e-05
41.981,-73.32779,1979-01-08 01:00:00,275.5454,-1.157754,1.711482,0.0007123044
41.981,-73.32779,1979-01-09 01:00:00,268.62537,2.0835743,-2.2522593,9.2927236e-05
41.981,-73.32779,1979-01-10 01:00:00,261.38428,1.9929373,1.2771573,0.0
41.981,-73.32779,1979-01-11 01:00:00,261.4563,2.0002975,0.50864404,0.0
41.981,-73.32779,1979-01-12 01:00:00,255.8184,-0.08372784,-1.9303503,0.0
41.981,-73.32779,1979-01-13 01:00:00,262.65332,-1.4403696,0.2508955,9.481773e-05
41.981,-73.32779,1979-01-14 01:00:00,272.77637,-3.2470865,-0.66651344,0.0006709489
41.981,-73.32779,1979-01-15 01:00:00,272.88037,4.401759,-2.3976812,3.8371883e-05
41.981,-73.32779,1979-01-16 01:00:00,261.4983,1.7074759,1.1344595,0.0
41.981,-73.32779,1979-01-17 01:00:00,263.7163,1.2993264,-1.5647974,0.0
41.981,-73.32779,1979-01-18 01:00:00,270.1538,0.6800788,1.6443129,0.00014565466
41.981,-73.32779,1979-01-19 01:00:00,257.24658,2.3625288,-4.2476664,1.5336423e-06
41.981,-73.32779,1979-01-20 01:00:00,258.8872,0.37284064,-1.3582916,3.7002224e-10
41.981,-73.32779,1979-01-21 01:00:00,266.8733,-1.4679527,0.6147607,0.001237629
41.981,-73.32779,1979-01-22 01:00:00,278.52362,2.658207,1.9298124,0.0005332721
41.981,-73.32779,1979-01-23 01:00:00,269.00793,2.9572659,-1.2966919,4.7947124e-06
41.981,-73.32779,1979-01-24 01:00:00,268.35266,-0.34935188,1.2532015,0.0
41.981,-73.32779,1979-01-25 01:00:00,274.1881,-6.423442,0.19622326,0.0009958728
41.981,-73.32779,1979-01-26 01:00:00,273.11133,1.408501,-2.9400644,0.000729217
41.981,-73.32779,1979-01-27 01:00:00,273.3858,1.2104301,-1.9847269,0.00027507974
41.981,-73.32779,1979-01-28 01:00:00,273.75568,2.138938,-2.0036173,1.6802733e-07
41.981,-73.32779,1979-01-29 01:00:00,273.92993,2.2802477,-2.2967052,9.718118e-06
41.981,-73.32779,1979-01-30 01:00:00,270.65234,3.3014145,-3.3756723,2.289361e-06
