latitude,longitude,time,t2m,u10,v10,tp
41.581,-73.728,1979-01-01 01:00:00,276.5088,-0.9497385,2.352848,4.1060048e-05
41.581,-73.728,1979-01-02 01:00:00,283.37878,0.59865326,3.982171,0.00014115285
41.581,-73.728,1979-01-03 01:00:00,281.2882,1.6625488,-0.06686211,0.0021079143
41.581,-73.728,1979-01-04 01:00:00,262.24255,2.2377987,-0.020008087,0.0
41.581,-73.728,1979-01-05 01:00:00,266.42017,2.2253723,1.1115967,0.0
41.581,-73.728,1979-01-06 01:00:00,264.80127,-0.7581351,0.38862085,0.0
41.581,-73.728,1979-01-07 01:00:00,269.25684,0.4781387,0.7453222,8.250627e-07
41.581,-73.728,1979-01-08 01:00:00,275.2527,-0.5482569,1.9141188,0.0006513833
41.581,-73.728,1979-01-09 01:00:00,270.062,1.7648487,-1.9812632,6.2740815e-05
41.581,-73.728,1979-01-10 01:00:00,263.2295,2.1767752,1.1226468,0.0
41.581,-73.728,1979-01-11 01:00:00,263.77783,2.3816452,0.42255396,0.0
41.581,-73.728,1979-01-12 01:00:00,259.34137,-0.9802122,-1.3868933,0.0
41.581,-73.728,1979-01-13 01:00:00,264.90332,-1.3643198,-0.16823292,0.00017337239
41.581,-73.728,1979-01-14 01:00:00,273.537,-2.2910318,-0.95350075,0.00011086032
41.581,-73.728,1979-01-15 01:00:00,273.20874,4.540065,-2.3465338,1.1616594e-05
41.581,-73.728,1979-01-16 01:00:00,263.83813,2.185259,0.97308254,0.0
41.581,-73.728,1979-01-17 01:00:00,266.67212,1.7086282,-0.74009037,0.0
41.581,-73.728,1979-01-18 01:00:00,271.5537,1.0682623,1.5395765,3.253867e-05
41.581,-73.728,1979-01-19 01:00:00,258.89172,1.9067793,-4.2637796,1.0787594e-06
41.581,-73.728,1979-01-20 01:00:00,260.7954,-0.5009997,-1.4715729,1.6470338e-07
41.581,-73.728,1979-01-21 01:00:00,268.32886,-1.5253258,0.4284814,0.0011790569
41.581,-73.728,1979-01-22 01:00:00,278.22485,2.873539,1.5257597,4.561747e-05
41.581,-73.728,1979-01-23 01:00:00,270.2975,2.9445705,-0.7977295,3.7053815e-07
41.581,-73.728,1979-01-24 01:00:00,270.61328,-0.46837044,1.6719332,0.0
41.581,-73.728,1979-01-25 01:00:00,275.91797,-6.5838423,0.36944103,0.0019409584
41.581,-73.728,1979-01-26 01:00:00,273.4527,1.838921,-2.8396006,0.0004807419
41.581,-73.728,1979-01-27 01:00:00,273.54938,1.1570854,-1.4893045,0.00028141204
41.581,-73.728,1979-01-28 01:00:00,274.02698,1.7984838,-1.4842081,0.0
41.581,-73.728,1979-01-29 01:00:00,274.25458,2.0780993,-1.9013805,4.1493295e-06
41.581,-73.728,1979-01-30 01:00:00,272.33972,3.033226,-2.774354,3.9184442e-07
41.581,-73.728,1979-01-31 01:00:00,270.4762,2.546321,-2.3201141,1.2737546e-06
41.581,-73.728,1979-02-01 01:00:00,269.16833,1.725245,-1.7578125,3.2579846e-06
41.581,-73.728,1979-02-02 01:00:00,264.80115,2.6470642,-3.1936197,1.7764733e-06
41.581,-73.728,1979-02-03 01:00:00,265.0525,2.3418674,-2.664444,9.563855e-07
41.581,-73.728,1979-02-04 01:00:00,268.06592,1.2141491,-1.6047668,0.0
41.581,-73.728,1979-02-05 01:00:00,271.73938,3.544919,0.34447914,6.790269e-07
41.581,-73.728,1979-02-06 01:00:00,262.00977,3.8883514,-2.116334,4.184294e-07
41.581,-73.728,1979-02-07 01:00:00,263.10815,1.8662415,-1.0722809,0.0
41.581,-73.728,1979-02-08 01:00:00,266.86877,-0.5843973,-1.177475,0.0008952151
41.581,-73.728,1979-02-09 01:00:00,264.67065,2.2352047,-1.010087,2.0812195e-07
41.581,-73.728,1979-02-10 01:00:00,258.00073,1.8100643,-2.4529839,1.7494244e-08
41.581,-73.728,1979-02-11 01:00:00,257.95074,2.078843,-2.1407928,0.0
41.581,-73.728,1979-02-12 01:00:00,254.58205,0.5774225,-1.3767157,0.0
41.581,-73.728,1979-02-13 01:00:00,260.75757,-0.48507679,-0.56461716,0.00027326058
41.581,-73.728,1979-02-14 01:00:00,255.72557,1.6097164,-2.3659058,0.0
41.581,-73.728,1979-02-15 01:00:00,256.2118,0.82179236,-0.90280247,0.0
41.581,-73.728,1979-02-16 01:00:00,260.79492,-1.3437634,-1.2919006,0.0
41.581,-73.728,1979-02-17 01:00:00,261.01245,1.8981316,-3.1858187,2.3252369e-07
41.581,-73.728,1979-02-18 01:00:00,254.75082,0.9630505,-2.4060678,0.0
41.581,-73.728,1979-02-19 01:00:00,260.26355,0.12737942,1.5958843,1.1429438e-07
41.581,-73.728,1979-02-20 01:00:00,264.74866,-0.0900116,-2.0788794,0.0
41.581,-73.728,1979-02-21 01:00:00,269.52002,0.9088852,2.2471933,0.0
41.581,-73.728,1979-02-22 01:00:00,276.31635,1.5210743,2.3991823,1.7173606e-06
41.581,-73.728,1979-02-23 01:00:00,272.76367,-0.7258546,-2.1184702,0.0
41.581,-73.728,1979-02-24 01:00:00,273.85382,-1.9959869,2.147338,2.9201341e-05
41.581,-73.728,1979-02-25 01:00:00,276.0171,-0.4831791,-2.589569,0.0012723091
41.581,-73.728,1979-02-26 01:00:00,274.667,-3.1895142,-2.0877104,8.7558496e-05
41.581,-73.728,1979-02-27 01:00:00,272.33105,-2.2563334,-1.6504831,0.00015435537
41.581,-73.728,1979-02-28 01:00:00,271.6703,2.0229216,-1.9884281,6.4238566e-06
41.581,-73.728,1979-03-01 01:00:00,275.05103,-0.3571694,-0.5039377,0.0
41.581,-73.728,1979-03-02 01:00:00,275.63507,-1.2653656,1.8268459,5.1735093e-05
41.581,-73.728,1979-03-03 01:00:00,275.36328,-1.0992584,-1.2368479,0.0
41.581,-73.728,1979-03-04 01:00:00,274.6916,-1.2325907,1.7768121,1.8259027e-05
41.581,-73.728,1979-03-05 01:00:00,280.46417,-1.1275177,2.9499788,0.0001741469
41.581,-73.728,1979-03-06 01:00:00,282.4749,-0.8548908,3.3145351,8.373643e-06
41.581,-73.728,1979-03-07 01:00:00,281.43677,-0.2182836,1.5854197,0.0030728313
41.581,-73.728,1979-03-08 01:00:00,277.93604,0.2655958,-2.148038,0.0
41.581,-73.728,1979-03-09 01:00:00,276.14307,-0.5705299,-1.8335114,0.0
41.581,-73.728,1979-03-10 01:00:00,277.20728,-1.5374422,0.28720093,0.0
41.581,-73.728,1979-03-11 01:00:00,279.0581,-0.75592035,0.9418693,0.00096859864
41.581,-73.728,1979-03-12 01:00:00,269.34277,2.4849424,-2.8848877,2.0337752e-06
41.581,-73.728,1979-03-13 01:00:00,270.30127,2.6129942,-1.7587137,0.0
41.581,-73.728,1979-03-14 01:00:00,275.2351,-0.3748654,2.783022,0.0
41.581,-73.728,1979-03-15 01:00:00,277.422,2.7286863,-1.0568991,1.4608871e-05
