latitude,longitude,time,t2m,u10,v10,tp
41.881,-72.02711,1979-01-01 01:00:00,275.85938,-0.71908665,2.4711342,1.2150341e-05
41.881,-72.02711,1979-01-02 01:00:00,283.4837,1.9466758,3.9235773,4.0167404e-05
41.881,-72.02711,1979-01-03 01:00:00,284.65894,1.2730224,2.648714,0.005693895
41.881,-72.02711,1979-01-04 01:00:00,264.09607,2.760748,-0.8554573,0.0
41.881,-72.02711,1979-01-05 01:00:00,265.927,2.032013,1.2361695,0.0
41.881,-72.02711,1979-01-06 01:00:00,265.12524,1.0633981,0.1567483,0.0
41.881,-72.02711,1979-01-07 01:00:00,270.77344,-0.3023789,-0.81699467,6.942538e-05
41.881,-72.02711,1979-01-08 01:00:00,275.8855,-1.0854883,1.9126539,0.001943364
41.881,-72.02711,1979-01-09 01:00:00,273.01147,1.7929249,-1.5463266,0.0002046841
41.881,-72.02711,1979-01-10 01:00:00,266.5227,2.4599783,1.0392423,0.0
41.881,-72.02711,1979-01-11 01:00:00,265.02368,2.3965378,0.84424585,0.0
41.881,-72.02711,1979-01-12 01:00:00,260.06232,0.83204365,-1.2416296,0.0
41.881,-72.02711,1979-01-13 01:00:00,264.19385,-1.5934458,-0.41640186,8.2924395e-05
41.881,-72.02711,1979-01-14 01:00:00,274.0835,-2.5840006,-1.6124363,0.0012829035
41.881,-72.02711,1979-01-15 01:00:00,275.5564,3.9662123,0.59291935,8.718598e-06
41.881,-72.02711,1979-01-16 01:00:00,264.56323,2.1112845,0.5003042,0.0
41.881,-72.02711,1979-01-17 01:00:00,267.2954,1.6743264,-1.1930933,0.0
41.881,-72.02711,1979-01-18 01:00:00,271.39185,-0.25766534,1.4546156,0.00067875185
41.881,-72.02711,1979-01-19 01:00:00,258.88782,2.024211,-4.3851175,1.4372254e-06
41.881,-72.02711,1979-01-20 01:00:00,261.16895,1.2010877,-1.2614899,0.0
41.881,-72.02711,1979-01-21 01:00:00,267.31934,-1.4347496,0.038832963,0.00075571006
41.881,-72.02711,1979-01-22 01:00:00,281.07025,2.411625,4.2647734,0.00084658875
41.881,-72.02711,1979-01-23 01:00:00,271.25647,3.4797268,-0.88342285,4.4617764e-07
41.881,-72.02711,1979-01-24 01:00:00,270.0382,0.84950066,0.8153352,0.0
41.881,-72.02711,1979-01-25 01:00:00,274.53906,-5.09727,-0.6604662,0.00015410972
41.881,-72.02711,1979-01-26 01:00:00,274.62146,-0.27240717,-2.2236338,0.00022042666
41.881,-72.02711,1979-01-27 01:00:00,273.97528,0.7980767,-1.7685404,8.718057e-05
41.881,-72.02711,1979-01-28 01:00:00,274.2751,1.7746801,-1.6720133,1.8307815e-05
41.881,-72.02711,1979-01-29 01:00:00,275.12842,1.806737,-1.9055309,8.633797e-07
41.881,-72.02711,1979-01-30 01:00:00,274.01343,3.6125717,-3.1276255,8.879306e-08
41.881,-72.02711,1979-01-31 01:00:00,271.13843,2.862239,-2.507248,6.233213e-07
41.881,-72.02711,1979-02-01 01:00:00,269.3922,1.8794198,-1.5205078,5.077718e-07
41.881,-72.02711,1979-02-02 01:00:00,265.3009,3.0375671,-2.8534098,6.691516e-08
41.881,-72.02711,1979-02-03 01:00:00,265.2224,2.7615452,-2.6084137,0.0
41.881,-72.02711,1979-02-04 01:00:00,267.0786,2.0397105,-1.9758606,0.0
41.881,-72.02711,1979-02-05 01:00:00,269.0664,0.7557345,1.5172086,2.103181e-06
41.881,-72.02711,1979-02-06 01:00:00,262.68018,5.1522675,-1.8382578,9.3657036e-07
41.881,-72.02711,1979-02-07 01:00:00,262.04395,2.4338684,-1.23732,0.0
41.881,-72.02711,1979-02-08 01:00:00,267.50488,-1.5177469,-0.92832947,0.00075228885
41.881,-72.02711,1979-02-09 01:00:00,264.69006,2.5210934,-1.4925699,0.0
41.881,-72.02711,1979-02-10 01:00:00,258.96313,2.0556087,-2.1213188,0.0
41.881,-72.02711,1979-02-11 01:00:00,257.30548,2.6957865,-1.7983856,0.0
41.881,-72.02711,1979-02-12 01:00:00,253.99562,1.6579889,-1.3370428,0.0
41.881,-72.02711,1979-02-13 01:00:00,260.3302,0.28793347,-0.61582565,4.701392e-05
41.881,-72.02711,1979-02-14 01:00:00,255.8408,1.9588375,-2.2975464,0.0
41.881,-72.02711,1979-02-15 01:00:00,256.1925,2.1725004,-1.02353,0.0
41.881,-72.02711,1979-02-16 01:00:00,260.01343,0.58867073,-1.8989563,0.0
41.881,-72.02711,1979-02-17 01:00:00,259.03076,1.3456414,-3.2468538,0.0
41.881,-72.02711,1979-02-18 01:00:00,255.14267,1.7775036,-2.588441,0.0
41.881,-72.02711,1979-02-19 01:00:00,258.812,0.7034292,1.1939983,0.0
41.881,-72.02711,1979-02-20 01:00:00,265.33362,-0.02507019,-1.9785376,0.0
41.881,-72.02711,1979-02-21 01:00:00,269.20508,1.8124496,1.5875254,0.0
41.881,-72.02711,1979-02-22 01:00:00,276.89093,2.428545,2.5658083,1.5244646e-05
41.881,-72.02711,1979-02-23 01:00:00,273.3639,0.87070304,-1.9529428,0.0
41.881,-72.02711,1979-02-24 01:00:00,273.17444,-1.7121735,2.0366812,1.536976e-05
41.881,-72.02711,1979-02-25 01:00:00,276.18127,-0.20443153,-2.019928,0.0010450073
41.881,-72.02711,1979-02-26 01:00:00,273.4961,-4.138489,-2.677188,0.00012127901
41.881,-72.02711,1979-02-27 01:00:00,271.33606,-2.2857523,-2.4856882,1.9093128e-05
41.881,-72.02711,1979-02-28 01:00:00,273.24646,2.5596647,-1.0608158,3.2852304e-06
41.881,-72.02711,1979-03-01 01:00:00,274.7854,1.7853477,-1.2967234,0.0
41.881,-72.02711,1979-03-02 01:00:00,274.90192,-1.9579315,-0.11614728,0.0
41.881,-72.02711,1979-03-03 01:00:00,274.95093,-1.6598663,-1.3245554,0.0
41.881,-72.02711,1979-03-04 01:00:00,273.122,-0.59452915,1.5645318,8.586794e-07
41.881,-72.02711,1979-03-05 01:00:00,280.29208,-0.76698303,2.5797396,0.00014946162
41.881,-72.02711,1979-03-06 01:00:00,282.54462,-0.1767292,3.0909023,3.4859528e-05
41.881,-72.02711,1979-03-07 01:00:00,281.33856,-0.51180166,2.4994822,0.00040647679
41.881,-72.02711,1979-03-08 01:00:00,278.0147,-0.51483023,-2.299283,3.364522e-05
41.881,-72.02711,1979-03-09 01:00:00,276.27905,0.9690209,-2.216629,0.0
41.881,-72.02711,1979-03-10 01:00:00,275.89587,-0.09566975,-1.7637024,0.0
41.881,-72.02711,1979-03-11 01:00:00,278.4571,0.23944098,1.7308097,0.00053110917
41.881,-72.02711,1979-03-12 01:00:00,269.3457,4.348956,-2.0111084,1.2069866e-06
41.881,-72.02711,1979-03-13 01:00:00,269.13245,3.8875303,-2.0817118,0.0
41.881,-72.02711,1979-03-14 01:00:00,275.3999,1.511365,3.7665424,0.0
41.881,-72.02711,1979-03-15 01:00:00,280.23145,2.9783201,-0.4572897,0.00011957981
41.881,-72.02711,1979-03-16 01:00:00,266.2047,3.5782318,-2.5396576,0.0
41.881,-72.02711,1979-03-17 01:00:00,270.24243,0.759717,-1.0926132,0.0
41.881,-72.02711,1979-03-18 01:00:00,272.26465,-0.28896523,-2.3573313,0.0
41.881,-72.02711,1979-03-19 01:00:00,271.88928,0.15121365,-2.0373383,0.0
41.881,-72.02711,1979-03-20 01:00:00,276.45654,0.9802013,-2.7876787,1.645134e-06
41.881,-72.02711,1979-03-21 01:00:00,277.23584,0.8299828,-3.672306,0.0
41.881,-72.02711,1979-03-22 01:00:00,278.2046,-1.9281626,0.4792652,0.0
41.881,-72.02711,1979-03-23 01:00:00,282.7539,0.7574005,-2.3558588,0.0
41.881,-72.02711,1979-03-24 01:00:00,281.25995,0.41749442,2.2960615,0.0
41.881,-72.02711,1979-03-25 01:00:00,283.10498,-3.6161356,3.0286264,4.3692603e-07
41.881,-72.02711,1979-03-26 01:00:00,279.92242,0.17562103,1.8094778,0.0
41.881,-72.02711,1979-03-27 01:00:00,277.43097,2.349492,-0.26521945,0.0
41.881,-72.02711,1979-03-28 01:00:00,272.8911,2.2418308,-2.2238321,0.0
41.881,-72.02711,1979-03-29 01:00:00,273.46204,0.654645,2.2411509,0.0
41.881,-72.02711,1979-03-30 01:00:00,279.0291,0.7833214,1.270893,0.00015042839
41.881,-72.02711,1979-03-31 01:00:00,282.9187,-0.96035004,1.2587174,2.03518e-06
41.881,-72.02711,1979-04-01 01:00:00,285.1582,1.5044614,1.5700908,7.4098294e-05
41.881,-72.02711,1979-04-02 01:00:00,277.9674,-2.1042948,-1.361206,1.5093065e-06
41.881,-72.02711,1979-04-03 01:00:00,276.83655,-2.576377,1.5324175,1.9412546e-05
41.881,-72.02711,1979-04-04 01:00:00,278.71338,1.4340863,-1.7120056,0.0005005866
41.881,-72.02711,1979-04-05 01:00:00,275.09534,-3.4452972,-0.2326498,0.0014869655
41.881,-72.02711,1979-04-06 01:00:00,278.82654,2.6386633,0.41704494,0.0
41.881,-72.02711,1979-04-07 01:00:00,274.65894,4.883849,0.39003658,2.1391497e-06
41.881,-72.02711,1979-04-08 01:00:00,272.64233,3.7662802,-2.0839195,0.0
41.881,-72.02711,1979-04-09 01:00:00,274.88855,1.1132648,0.17647314,0.0
41.881,-72.02711,1979-04-10 01:00:00,274.0968,-2.2955132,-2.6553965,2.0349922e-05
41.881,-72.02711,1979-04-11 01:00:00,276.34644,2.7838707,-1.4273682,0.0
41.881,-72.02711,1979-04-12 01:00:00,277.71875,2.209847,-1.6342926,0.0
41.881,-72.02711,1979-04-13 01:00:00,280.0382,-0.81137085,-2.1644402,0.0
41.881,-72.02711,1979-04-14 01:00:00,276.77917,-2.2990265,-0.14325148,4.2081797e-07
41.881,-72.02711,1979-04-15 01:00:00,275.0337,-0.39990234,-1.9075403,0.00066190097
41.881,-72.02711,1979-04-16 01:00:00,278.26532,-1.5154428,0.24563694,9.932858e-05
41.881,-72.02711,1979-04-17 01:00:00,277.07294,0.19909382,0.9729643,9.953408e-05
41.881,-72.02711,1979-04-18 01:00:00,279.36304,1.7644169,-1.6048594,0.0
41.881,-72.02711,1979-04-19 01:00:00,277.713,0.83992004,-2.3999271,0.0
41.881,-72.02711,1979-04-20 01:00:00,277.69092,-1.1553049,-1.2878857,1.5085869e-05
41.881,-72.02711,1979-04-21 01:00:00,279.8941,0.3624127,-2.1395264,0.0
41.881,-72.02711,1979-04-22 01:00:00,279.58984,-0.34748936,2.0875807,0.0
41.881,-72.02711,1979-04-23 01:00:00,282.91003,1.076281,1.8027897,0.0
41.881,-72.02711,1979-04-24 01:00:00,285.81042,1.3385057,-1.9464521,0.0
41.881,-72.02711,1979-04-25 01:00:00,285.5702,1.4539661,1.5798881,0.0
41.881,-72.02711,1979-04-26 01:00:00,285.30542,-0.785553,1.6021757,0.0
41.881,-72.02711,1979-04-27 01:00:00,285.99002,-1.0187683,1.7596312,0.0004766964
41.881,-72.02711,1979-04-28 01:00:00,286.79834,-1.3453321,2.434166,0.000973029
41.881,-72.02711,1979-04-29 01:00:00,287.49536,-1.978837,0.060076714,0.0020253668
41.881,-72.02711,1979-04-30 01:00:00,286.4378,-0.27796417,-1.5840092,5.3640906e-05
41.881,-72.02711,1979-05-01 01:00:00,285.91565,1.5323052,1.6398163,0.0
41.881,-72.02711,1979-05-02 01:00:00,284.26672,2.3050547,-2.4095125,0.0
41.881,-72.02711,1979-05-03 01:00:00,283.03516,2.1377103,-0.70492077,0.0
41.881,-72.02711,1979-05-04 01:00:00,283.55005,-0.26734257,2.5361376,0.0007488597
41.881,-72.02711,1979-05-05 01:00:00,286.3739,1.7469943,-1.650423,0.0
41.881,-72.02711,1979-05-06 01:00:00,281.68396,2.1055353,-1.0405083,0.0
41.881,-72.02711,1979-05-07 01:00:00,283.9049,1.2715483,-0.68437576,0.0
41.881,-72.02711,1979-05-08 01:00:00,285.75885,1.1793768,1.4109554,0.0
41.881,-72.02711,1979-05-09 01:00:00,289.03308,1.0459965,2.043849,0.0
41.881,-72.02711,1979-05-10 01:00:00,295.53333,2.2656612,1.3847139,0.0
41.881,-72.02711,1979-05-11 01:00:00,296.43726,2.126283,-0.49751228,0.0
41.881,-72.02711,1979-05-12 01:00:00,287.8506,-1.5434113,1.1019249,0.0
41.881,-72.02711,1979-05-13 01:00:00,287.31683,-2.1323395,0.68361044,3.4885297e-06
41.881,-72.02711,1979-05-14 01:00:00,289.78247,0.08182502,1.5474942,0.0005688709
41.881,-72.02711,1979-05-15 01:00:00,287.49524,0.37121266,-0.3765421,0.0014740336
41.881,-72.02711,1979-05-16 01:00:00,289.10516,-0.48610306,0.87927204,1.0006428e-05
41.881,-72.02711,1979-05-17 01:00:00,288.469,1.825197,-1.7713308,0.0
41.881,-72.02711,1979-05-18 01:00:00,286.27167,-1.7815552,-1.2472839,0.0
41.881,-72.02711,1979-05-19 01:00:00,286.04504,-1.9905558,-1.3570251,2.3574103e-09
41.881,-72.02711,1979-05-20 01:00:00,285.10364,-2.407959,-1.0376139,3.2636788e-05
41.881,-72.02711,1979-05-21 01:00:00,288.43665,-1.4135752,-0.86465454,3.2386743e-07
41.881,-72.02711,1979-05-22 01:00:00,289.59924,0.92823756,1.9090366,1.7901766e-07
41.881,-72.02711,1979-05-23 01:00:00,288.77026,0.7197809,-0.11867809,0.0
41.881,-72.02711,1979-05-24 01:00:00,288.14893,1.7924414,1.8284888,0.0021223726
41.881,-72.02711,1979-05-25 01:00:00,287.84216,-0.46866226,-0.829298,0.0017536478
41.881,-72.02711,1979-05-26 01:00:00,288.93405,-1.0239878,1.7482729,0.0001694342
41.881,-72.02711,1979-05-27 01:00:00,285.5854,0.087500036,2.911481,0.0
41.881,-72.02711,1979-05-28 01:00:00,287.41364,0.559829,3.538968,2.0752195e-06
41.881,-72.02711,1979-05-29 01:00:00,286.97858,-0.004624903,2.3302813,0.00026673454
41.881,-72.02711,1979-05-30 01:00:00,288.325,-1.4320049,0.92836326,0.0
41.881,-72.02711,1979-05-31 01:00:00,287.3495,1.6974652,0.70493656,0.0
41.881,-72.02711,1979-06-01 01:00:00,290.75378,1.5883675,0.7981386,0.0
41.881,-72.02711,1979-06-02 01:00:00,289.39453,-1.1487732,0.05910778,0.0
41.881,-72.02711,1979-06-03 01:00:00,287.99548,0.1620388,1.9420395,0.0
41.881,-72.02711,1979-06-04 01:00:00,289.60107,0.6969486,1.4633608,3.140018e-05
41.881,-72.02711,1979-06-05 01:00:00,288.93274,-0.9309845,0.8432894,1.2366378e-05
41.881,-72.02711,1979-06-06 01:00:00,291.92236,2.1736593,0.33263874,0.0
41.881,-72.02711,1979-06-07 01:00:00,291.3224,0.6725104,-0.40025592,0.0
41.881,-72.02711,1979-06-08 01:00:00,289.8393,-0.76074314,1.4635086,0.0
41.881,-72.02711,1979-06-09 01:00:00,291.19366,0.2163372,2.0013704,2.0256266e-07
41.881,-72.02711,1979-06-10 01:00:00,292.7511,0.48483837,1.9307976,0.0
41.881,-72.02711,1979-06-11 01:00:00,291.33673,0.30186474,2.6398325,0.0
41.881,-72.02711,1979-06-12 01:00:00,291.89355,0.2355158,2.3064938,0.00026011418
41.881,-72.02711,1979-06-13 01:00:00,285.38098,2.245098,-1.0180988,0.0
41.881,-72.02711,1979-06-14 01:00:00,286.4768,2.006595,-0.3886137,0.0
41.881,-72.02711,1979-06-15 01:00:00,289.61115,1.8034153,1.21453,0.0
41.881,-72.02711,1979-06-16 01:00:00,295.14886,2.0890374,1.7690535,0.0
41.881,-72.02711,1979-06-17 01:00:00,296.79224,1.723441,1.5427895,0.0
41.881,-72.02711,1979-06-18 01:00:00,293.41595,0.35792542,1.7006896,0.0
41.881,-72.02711,1979-06-19 01:00:00,291.3982,-0.06263733,-3.228303,0.0016870948
41.881,-72.02711,1979-06-20 01:00:00,289.32336,-1.5103159,-0.562562,0.0
41.881,-72.02711,1979-06-21 01:00:00,290.85486,-1.8737335,0.47927284,0.0
41.881,-72.02711,1979-06-22 01:00:00,289.83337,-0.5325661,1.9581566,0.0
41.881,-72.02711,1979-06-23 01:00:00,292.40186,1.2905357,2.217946,0.0
41.881,-72.02711,1979-06-24 01:00:00,292.05237,1.8310053,-0.572896,0.0
41.881,-72.02711,1979-06-25 01:00:00,288.33655,1.6772916,-2.7266073,0.0
41.881,-72.02711,1979-06-26 01:00:00,289.47815,-0.90066624,0.17939281,0.0
41.881,-72.02711,1979-06-27 01:00:00,289.29526,0.8787762,2.5933266,0.0
41.881,-72.02711,1979-06-28 01:00:00,289.3598,0.7352719,2.7000284,0.0
41.881,-72.02711,1979-06-29 01:00:00,292.43512,0.73378825,1.8364003,0.0
41.881,-72.02711,1979-06-30 01:00:00,292.76605,0.36310077,2.1537447,0.0
41.881,-72.02711,1979-07-01 01:00:00,293.6205,-1.8758488,2.1313095,0.00018493875
41.881,-72.02711,1979-07-02 01:00:00,291.83148,-0.25668365,1.5044651,2.4209456e-05
41.881,-72.02711,1979-07-03 01:00:00,292.5913,2.3460598,0.39932227,0.0
41.881,-72.02711,1979-07-04 01:00:00,293.48596,2.5035214,-1.1543465,0.0
41.881,-72.02711,1979-07-05 01:00:00,288.42407,1.4645622,1.0890341,0.0
41.881,-72.02711,1979-07-06 01:00:00,286.9602,1.8985367,-0.6423855,0.0
41.881,-72.02711,1979-07-07 01:00:00,289.44043,1.7881764,-0.7810011,0.0
41.881,-72.02711,1979-07-08 01:00:00,291.76764,0.7653063,1.5378735,0.0
41.881,-72.02711,1979-07-09 01:00:00,294.70514,1.6046512,1.8184545,0.0
41.881,-72.02711,1979-07-10 01:00:00,294.91003,1.4991345,2.3662004,0.0
41.881,-72.02711,1979-07-11 01:00:00,293.46805,0.85226774,2.3278227,0.0
41.881,-72.02711,1979-07-12 01:00:00,294.26642,0.13773155,1.3664703,0.0
41.881,-72.02711,1979-07-13 01:00:00,297.3036,2.0235734,-0.30756193,0.0
41.881,-72.02711,1979-07-14 01:00:00,299.70178,1.4695604,1.454203,0.0
41.881,-72.02711,1979-07-15 01:00:00,298.5968,-0.091781616,2.123126,0.0
41.881,-72.02711,1979-07-16 01:00:00,296.51196,-1.1939402,0.6660003,1.7826096e-07
41.881,-72.02711,1979-07-17 01:00:00,297.2597,0.44002074,1.7001642,2.2309832e-06
41.881,-72.02711,1979-07-18 01:00:00,296.3142,-1.6938028,-0.31745815,5.378344e-06
41.881,-72.02711,1979-07-19 01:00:00,293.89484,-0.987916,1.0050263,2.549612e-06
