latitude,longitude,time,t2m,u10,v10,tp
41.581,-72.42732,1979-01-01 01:00:00,277.15112,-0.9194956,2.6881752,2.5164234e-05
41.581,-72.42732,1979-01-02 01:00:00,283.5185,1.6635947,3.9892511,0.000109437635
41.581,-72.42732,1979-01-03 01:00:00,284.40698,0.93098134,2.5198078,0.0037312557
41.581,-72.42732,1979-01-04 01:00:00,264.66174,2.695074,-1.0622444,0.0
41.581,-72.42732,1979-01-05 01:00:00,266.96655,2.0637512,1.1214234,0.0
41.581,-72.42732,1979-01-06 01:00:00,266.41357,0.58097625,-0.319448,0.0
41.581,-72.42732,1979-01-07 01:00:00,271.03125,0.16685939,-1.0650415,2.7039305e-05
41.581,-72.42732,1979-01-08 01:00:00,276.72217,-0.19583988,2.3709059,0.0028464638
41.581,-72.42732,1979-01-09 01:00:00,272.6947,1.9258595,-1.8684702,0.00015803393
41.581,-72.42732,1979-01-10 01:00:00,267.40576,2.7600272,0.91448647,0.0
41.581,-72.42732,1979-01-11 01:00:00,266.30933,2.6389694,0.524147,0.0
41.581,-72.42732,1979-01-12 01:00:00,261.48248,0.5731325,-1.6458044,0.0
41.581,-72.42732,1979-01-13 01:00:00,266.17456,-1.5197153,-0.65962696,0.00013478566
41.581,-72.42732,1979-01-14 01:00:00,274.6266,-2.2672281,-1.8874607,0.00023811065
41.581,-72.42732,1979-01-15 01:00:00,275.016,3.699977,0.52468204,2.0784137e-06
41.581,-72.42732,1979-01-16 01:00:00,266.01147,2.230181,0.33673,0.0
41.581,-72.42732,1979-01-17 01:00:00,268.83374,1.437388,-1.2970972,0.0
41.581,-72.42732,1979-01-18 01:00:00,273.0476,0.76748115,1.9289808,0.00045616692
41.581,-72.42732,1979-01-19 01:00:00,260.3518,1.7781172,-4.762803,2.6427347e-07
41.581,-72.42732,1979-01-20 01:00:00,263.07642,0.9368665,-1.3777618,0.0
41.581,-72.42732,1979-01-21 01:00:00,269.30078,-1.4230919,0.086318314,0.0014905126
41.581,-72.42732,1979-01-22 01:00:00,280.93738,2.9663124,4.3499784,0.00042486307
41.581,-72.42732,1979-01-23 01:00:00,271.98438,3.1874905,-0.9066467,3.1678564e-07
41.581,-72.42732,1979-01-24 01:00:00,270.74414,0.65504265,1.0841341,0.0
41.581,-72.42732,1979-01-25 01:00:00,275.46753,-5.6746626,-0.55710316,0.0010807409
41.581,-72.42732,1979-01-26 01:00:00,273.82843,1.5901417,-1.5707407,0.000765979
41.581,-72.42732,1979-01-27 01:00:00,274.39008,1.0240288,-1.9517679,0.000114862734
41.581,-72.42732,1979-01-28 01:00:00,274.0385,1.8998022,-1.5744181,0.0
41.581,-72.42732,1979-01-29 01:00:00,274.7522,1.7415514,-1.9701061,1.4166617e-06
41.581,-72.42732,1979-01-30 01:00:00,273.42102,3.333641,-3.3735971,0.0
41.581,-72.42732,1979-01-31 01:00:00,271.10925,2.661067,-2.684616,1.4433408e-07
41.581,-72.42732,1979-02-01 01:00:00,269.85278,1.8413339,-1.5021362,2.8134036e-07
41.581,-72.42732,1979-02-02 01:00:00,265.60718,2.8455505,-3.0351725,8.582629e-08
41.581,-72.42732,1979-02-03 01:00:00,265.60828,2.7460423,-2.853775,0.0
41.581,-72.42732,1979-02-04 01:00:00,268.18164,1.8697888,-2.1526184,0.0
41.581,-72.42732,1979-02-05 01:00:00,270.68506,1.4885225,1.6101041,1.1366265e-06
41.581,-72.42732,1979-02-06 01:00:00,263.16956,4.835373,-2.2355967,8.657298e-08
41.581,-72.42732,1979-02-07 01:00:00,263.52222,2.2275696,-1.3453522,0.0
41.581,-72.42732,1979-02-08 01:00:00,267.70312,-1.413621,-1.2198944,0.0010366193
41.581,-72.42732,1979-02-09 01:00:00,265.63623,2.0679684,-1.3065958,0.0
41.581,-72.42732,1979-02-10 01:00:00,259.35742,2.0532284,-2.4159966,0.0
41.581,-72.42732,1979-02-11 01:00:00,258.39874,2.6624613,-2.0652313,7.028575e-09
41.581,-72.42732,1979-02-12 01:00:00,254.94191,1.4745172,-1.505744,0.0
41.581,-72.42732,1979-02-13 01:00:00,262.13086,0.38494885,-0.17283249,0.00013416138
41.581,-72.42732,1979-02-14 01:00:00,256.81873,2.0123043,-2.4301147,0.0
41.581,-72.42732,1979-02-15 01:00:00,257.24915,1.9637601,-1.1534128,0.0
41.581,-72.42732,1979-02-16 01:00:00,261.92285,-0.04829216,-1.9853821,0.0
41.581,-72.42732,1979-02-17 01:00:00,261.02393,1.0044549,-3.148343,0.0
41.581,-72.42732,1979-02-18 01:00:00,255.84042,1.5920178,-2.7268686,0.0
41.581,-72.42732,1979-02-19 01:00:00,260.60742,0.39587307,1.437376,0.0
41.581,-72.42732,1979-02-20 01:00:00,266.05005,0.1743927,-2.2844458,0.0
41.581,-72.42732,1979-02-21 01:00:00,269.06384,1.5155746,1.7574472,0.0
41.581,-72.42732,1979-02-22 01:00:00,276.9807,2.3909473,2.38136,2.0498135e-05
41.581,-72.42732,1979-02-23 01:00:00,273.67883,1.1229002,-1.9954844,0.0
41.581,-72.42732,1979-02-24 01:00:00,274.15924,-2.0156403,1.8235464,2.8153286e-06
41.581,-72.42732,1979-02-25 01:00:00,276.87128,-0.41646767,-2.221344,0.00159456
41.581,-72.42732,1979-02-26 01:00:00,274.4416,-3.9727173,-2.984683,4.4759392e-05
41.581,-72.42732,1979-02-27 01:00:00,272.30383,-1.9775248,-2.501069,3.315185e-05
41.581,-72.42732,1979-02-28 01:00:00,273.48853,2.1652555,-1.6252079,6.7392402e-06
41.581,-72.42732,1979-03-01 01:00:00,275.20532,1.3620689,-1.6128855,0.0
41.581,-72.42732,1979-03-02 01:00:00,275.02618,-1.7188568,0.62658954,0.0
41.581,-72.42732,1979-03-03 01:00:00,275.76306,-1.3515778,-1.5726023,9.2423124e-07
41.581,-72.42732,1979-03-04 01:00:00,273.42133,-0.95597935,1.2777886,0.0
41.581,-72.42732,1979-03-05 01:00:00,280.20206,-0.83625793,2.5726595,6.5746135e-06
41.581,-72.42732,1979-03-06 01:00:00,281.76294,-0.4878559,3.0509853,7.479004e-05
41.581,-72.42732,1979-03-07 01:00:00,281.03668,-0.80742544,2.6633005,0.0010031707
41.581,-72.42732,1979-03-08 01:00:00,279.3357,-0.36364615,-2.4300203,1.1036609e-05
41.581,-72.42732,1979-03-09 01:00:00,276.87415,0.802517,-2.396988,0.0
41.581,-72.42732,1979-03-10 01:00:00,276.6068,-1.1680574,-1.2562561,0.0
41.581,-72.42732,1979-03-11 01:00:00,278.20013,-0.08868402,1.8011222,0.00048283697
41.581,-72.42732,1979-03-12 01:00:00,269.31152,3.7486143,-2.6887207,3.6918368e-07
41.581,-72.42732,1979-03-13 01:00:00,270.20105,3.1034727,-2.1831522,0.0
41.581,-72.42732,1979-03-14 01:00:00,276.5797,1.2398807,3.701601,0.0
41.581,-72.42732,1979-03-15 01:00:00,280.17566,2.7589598,0.1183939,3.9194652e-05
41.581,-72.42732,1979-03-16 01:00:00,266.77148,3.1259613,-2.92247,0.0
41.581,-72.42732,1979-03-17 01:00:00,272.16956,0.013379097,0.1727066,0.0
41.581,-72.42732,1979-03-18 01:00:00,272.93848,-0.7899418,-2.3160715,0.0
41.581,-72.42732,1979-03-19 01:00:00,272.399,0.09988308,-2.1924286,0.0
41.581,-72.42732,1979-03-20 01:00:00,276.8684,1.0087657,-3.0691729,1.3875251e-08
41.581,-72.42732,1979-03-21 01:00:00,277.42017,0.42980582,-3.8652992,0.0
41.581,-72.42732,1979-03-22 01:00:00,278.74487,-1.1653452,0.8054371,0.0
41.581,-72.42732,1979-03-23 01:00:00,282.3894,0.29841614,-2.292016,0.0
41.581,-72.42732,1979-03-24 01:00:00,280.18408,0.00089895725,2.2680464,0.0
41.581,-72.42732,1979-03-25 01:00:00,283.63867,-4.1614237,3.4926157,0.00029133834
41.581,-72.42732,1979-03-26 01:00:00,279.08783,0.027183533,1.912261,0.0
41.581,-72.42732,1979-03-27 01:00:00,277.45874,2.703496,0.43039823,0.0
41.581,-72.42732,1979-03-28 01:00:00,273.78125,1.4139498,-2.301835,0.0
41.581,-72.42732,1979-03-29 01:00:00,273.9264,0.49369532,2.387269,0.0
41.581,-72.42732,1979-03-30 01:00:00,279.37207,-0.38684464,1.4931525,0.00024332965
41.581,-72.42732,1979-03-31 01:00:00,281.7876,-0.83937836,1.2760514,0.0
41.581,-72.42732,1979-04-01 01:00:00,283.9358,1.1126767,1.5953593,1.477878e-06
41.581,-72.42732,1979-04-02 01:00:00,279.66315,-2.0902567,-1.4312744,1.1701559e-07
41.581,-72.42732,1979-04-03 01:00:00,278.97156,-2.6714697,1.2313921,7.4186886e-05
41.581,-72.42732,1979-04-04 01:00:00,279.7871,0.82684755,-2.1198425,0.0005490239
41.581,-72.42732,1979-04-05 01:00:00,275.88397,-3.7409515,0.17823887,0.0004288396
41.581,-72.42732,1979-04-06 01:00:00,279.27502,2.615592,0.33794338,0.0
41.581,-72.42732,1979-04-07 01:00:00,275.09375,5.0774527,-0.024392128,6.8008376e-08
41.581,-72.42732,1979-04-08 01:00:00,273.18982,3.099288,-2.7229576,0.0
41.581,-72.42732,1979-04-09 01:00:00,276.42126,1.3472736,2.1131186,2.5883899e-05
41.581,-72.42732,1979-04-10 01:00:00,274.90027,-1.9767876,-2.7191782,3.4320226e-05
41.581,-72.42732,1979-04-11 01:00:00,277.03198,2.5562096,-1.8511353,0.0
41.581,-72.42732,1979-04-12 01:00:00,278.76978,1.7118001,-1.8741913,0.0
41.581,-72.42732,1979-04-13 01:00:00,281.49023,-1.2580261,-2.256115,0.0
41.581,-72.42732,1979-04-14 01:00:00,277.9308,-2.4777374,0.3806743,0.0
41.581,-72.42732,1979-04-15 01:00:00,276.27386,0.27929688,-2.4749231,0.00089819764
41.581,-72.42732,1979-04-16 01:00:00,278.50116,-0.3676157,1.0433664,0.000112343114
41.581,-72.42732,1979-04-17 01:00:00,276.8827,-0.49530315,0.96979046,0.00029240813
41.581,-72.42732,1979-04-18 01:00:00,280.24554,1.6876347,-1.8971567,0.0
41.581,-72.42732,1979-04-19 01:00:00,278.53955,0.10902405,-2.5691776,0.0
41.581,-72.42732,1979-04-20 01:00:00,278.91333,-0.93350315,-2.047285,0.0
41.581,-72.42732,1979-04-21 01:00:00,280.58417,-0.19544864,-2.3168945,0.0
41.581,-72.42732,1979-04-22 01:00:00,279.55347,-0.74086094,1.8687086,0.0
41.581,-72.42732,1979-04-23 01:00:00,282.4259,0.5914177,1.9623356,0.0
41.581,-72.42732,1979-04-24 01:00:00,286.5152,1.0468798,-2.4173384,0.0
41.581,-72.42732,1979-04-25 01:00:00,284.62427,0.94737434,1.6278617,0.0
41.581,-72.42732,1979-04-26 01:00:00,284.29944,-1.0509338,1.482913,0.0
41.581,-72.42732,1979-04-27 01:00:00,285.52368,-1.6170349,2.1548948,0.00011992187
41.581,-72.42732,1979-04-28 01:00:00,286.04108,-1.1326857,3.284752,0.000424797
41.581,-72.42732,1979-04-29 01:00:00,286.41797,-1.3268595,-0.46952534,0.0020144037
41.581,-72.42732,1979-04-30 01:00:00,286.74298,-0.24195343,-1.8280888,1.1823286e-06
41.581,-72.42732,1979-05-01 01:00:00,285.15497,1.320147,1.8505707,0.0
41.581,-72.42732,1979-05-02 01:00:00,284.5686,1.8587657,-2.5729036,0.0
41.581,-72.42732,1979-05-03 01:00:00,283.51562,1.958267,-0.31161022,0.0
41.581,-72.42732,1979-05-04 01:00:00,283.29852,-0.051278114,3.3275194,0.0012478719
41.581,-72.42732,1979-05-05 01:00:00,286.7173,1.100754,-2.4920979,0.0
41.581,-72.42732,1979-05-06 01:00:00,281.9348,1.5726984,-1.6084404,0.0
41.581,-72.42732,1979-05-07 01:00:00,284.02228,1.4066191,0.58527756,0.0
41.581,-72.42732,1979-05-08 01:00:00,285.0625,0.6633856,1.5304623,0.0
41.581,-72.42732,1979-05-09 01:00:00,288.10815,0.59030807,2.1279554,0.0
