latitude,longitude,time,t2m,u10,v10,tp
40.98,-72.52737,1979-01-01 01:00:00,280.70154,-1.5275583,6.7791176,0.00012843586
40.98,-72.52737,1979-01-02 01:00:00,284.55908,4.6288047,9.060784,4.2564934e-05
40.98,-72.52737,1979-01-03 01:00:00,284.23157,4.4469724,6.41971,0.004012771
40.98,-72.52737,1979-01-04 01:00:00,266.7057,6.641119,-3.9732552,0.0
40.98,-72.52737,1979-01-05 01:00:00,270.83154,8.658966,1.278772,8.835025e-08
40.98,-72.52737,1979-01-06 01:00:00,270.60156,3.3365915,0.6832986,0.0
40.98,-72.52737,1979-01-07 01:00:00,274.49146,3.7619522,-1.1811914,2.2192746e-05
40.98,-72.52737,1979-01-08 01:00:00,283.12695,4.4749365,8.524226,0.0035272266
40.98,-72.52737,1979-01-09 01:00:00,274.67773,5.3219776,-4.9068003,0.00011755504
40.98,-72.52737,1979-01-10 01:00:00,269.77222,8.021746,0.942288,0.0
40.98,-72.52737,1979-01-11 01:00:00,270.1272,8.996391,-0.2657395,0.0
40.98,-72.52737,1979-01-12 01:00:00,266.05157,0.6279421,-5.9832067,0.0
40.98,-72.52737,1979-01-13 01:00:00,272.5735,-5.5393686,1.3612471,0.00028429698
40.98,-72.52737,1979-01-14 01:00:00,279.52856,-5.344987,-2.1843357,0.001042416
40.98,-72.52737,1979-01-15 01:00:00,277.2312,9.5563,1.4905024,0.0
40.98,-72.52737,1979-01-16 01:00:00,269.41064,7.7086964,-0.83575535,0.0
40.98,-72.52737,1979-01-17 01:00:00,272.3191,4.8901467,-4.836404,0.0
40.98,-72.52737,1979-01-18 01:00:00,277.23096,6.43838,4.224513,0.00014857779
40.98,-72.52737,1979-01-19 01:00:00,264.48352,4.3738813,-11.733262,2.0737525e-07
40.98,-72.52737,1979-01-20 01:00:00,266.87354,2.7005994,-3.2813263,0.0
40.98,-72.52737,1979-01-21 01:00:00,274.1328,-3.9542809,4.205093,0.0015188974
40.98,-72.52737,1979-01-22 01:00:00,280.85022,8.129154,9.191287,5.448564e-05
40.98,-72.52737,1979-01-23 01:00:00,274.33167,8.663809,-1.3041992,0.0
40.98,-72.52737,1979-01-24 01:00:00,273.75037,2.3515759,1.9924898,0.0
40.98,-72.52737,1979-01-25 01:00:00,279.66345,-14.499858,0.37542248,0.0016195001
40.98,-72.52737,1979-01-26 01:00:00,275.17615,7.208794,-1.9578257,0.00041192706
40.98,-72.52737,1979-01-27 01:00:00,276.26868,3.756939,-4.6227884,0.00017162204
40.98,-72.52737,1979-01-28 01:00:00,276.71832,5.6419897,-3.0509806,0.0
40.98,-72.52737,1979-01-29 01:00:00,276.17194,5.3194323,-3.4585094,5.866373e-05
40.98,-72.52737,1979-01-30 01:00:00,274.94116,8.363426,-5.818177,0.0
40.98,-72.52737,1979-01-31 01:00:00,273.1305,7.2086744,-6.288498,0.0
40.98,-72.52737,1979-02-01 01:00:00,272.78137,4.6389413,-3.9171143,9.640644e-09
40.98,-72.52737,1979-02-02 01:00:00,268.38818,7.8207703,-7.877824,0.0
40.98,-72.52737,1979-02-03 01:00:00,268.79077,7.4134007,-6.961197,0.0
40.98,-72.52737,1979-02-04 01:00:00,271.3064,4.762367,-5.122101,0.0
40.98,-72.52737,1979-02-05 01:00:00,275.10266,6.397336,2.81152,2.5829104e-07
40.98,-72.52737,1979-02-06 01:00:00,266.1985,11.420578,-5.7021494,8.07413e-08
40.98,-72.52737,1979-02-07 01:00:00,267.53955,6.4009094,-4.217911,0.0
40.98,-72.52737,1979-02-08 01:00:00,270.04065,-5.941209,-4.063339,0.0017353371
40.98,-72.52737,1979-02-09 01:00:00,269.54016,7.5750484,-3.5176554,0.0
40.98,-72.52737,1979-02-10 01:00:00,263.187,4.6231136,-7.6524467,1.6701631e-07
40.98,-72.52737,1979-02-11 01:00:00,262.86896,7.273423,-6.917404,2.197281e-06
40.98,-72.52737,1979-02-12 01:00:00,260.27808,3.6313775,-5.6073065,0.0
40.98,-72.52737,1979-02-13 01:00:00,263.77563,0.9966432,-1.1977348,0.00030764542
40.98,-72.52737,1979-02-14 01:00:00,260.98193,4.869116,-7.7214966,2.3067378e-07
40.98,-72.52737,1979-02-15 01:00:00,262.60632,5.758194,-3.5799265,0.0
40.98,-72.52737,1979-02-16 01:00:00,266.4707,0.10228157,-4.667633,0.0
40.98,-72.52737,1979-02-17 01:00:00,265.2179,2.2935479,-8.333158,0.0
40.98,-72.52737,1979-02-18 01:00:00,260.19028,3.3663707,-8.308656,0.0
