latitude,longitude,time,t2m,u10,v10,tp
41.281,-72.52737,1979-01-01 01:00:00,279.54077,-1.4668589,5.20026,0.00013039752
41.281,-72.52737,1979-01-02 01:00:00,283.76544,3.518087,6.8980646,0.00012882556
41.281,-72.52737,1979-01-03 01:00:00,284.08936,2.8032959,4.462923,0.004056886
41.281,-72.52737,1979-01-04 01:00:00,265.964,5.578253,-2.837513,0.0
41.281,-72.52737,1979-01-05 01:00:00,269.57446,6.778351,1.4153076,1.7200352e-07
41.281,-72.52737,1979-01-06 01:00:00,269.92236,2.3719919,-0.011220455,0.0
41.281,-72.52737,1979-01-07 01:00:00,273.41577,1.648793,-1.9653711,3.348723e-05
41.281,-72.52737,1979-01-08 01:00:00,280.4585,2.3747168,5.5107985,0.0040246444
41.281,-72.52737,1979-01-09 01:00:00,273.80835,4.098711,-4.1608286,0.000134597
41.281,-72.52737,1979-01-10 01:00:00,269.01782,6.55031,0.9990812,0.0
41.281,-72.52737,1979-01-11 01:00:00,270.01343,7.026909,-0.018669188,0.0
41.281,-72.52737,1979-01-12 01:00:00,264.81012,0.58277607,-4.5085974,0.0
41.281,-72.52737,1979-01-13 01:00:00,269.75,-4.36432,0.09519482,0.00021037277
41.281,-72.52737,1979-01-14 01:00:00,276.5819,-4.961442,-3.9196873,0.00081939425
41.281,-72.52737,1979-01-15 01:00:00,276.5298,8.010158,1.1706781,4.6521745e-07
41.281,-72.52737,1979-01-16 01:00:00,269.6338,6.1603565,-0.49188328,0.0
41.281,-72.52737,1979-01-17 01:00:00,272.1443,3.7508645,-3.577981,0.0
41.281,-72.52737,1979-01-18 01:00:00,274.86328,3.787989,3.1574965,0.00033216045
41.281,-72.52737,1979-01-19 01:00:00,264.42273,3.3582563,-9.469834,0.0
41.281,-72.52737,1979-01-20 01:00:00,265.6941,1.9547498,-2.8072662,0.0
41.281,-72.52737,1979-01-21 01:00:00,272.32275,-3.1602135,2.3575585,0.0016219566
41.281,-72.52737,1979-01-22 01:00:00,280.71716,6.2216835,7.3782988,0.00017713035
41.281,-72.52737,1979-01-23 01:00:00,273.4923,6.960684,-1.157898,0.0
41.281,-72.52737,1979-01-24 01:00:00,272.74927,1.7839489,1.7139559,0.0
41.281,-72.52737,1979-01-25 01:00:00,277.2964,-11.762309,-0.72760487,0.0013447378
41.281,-72.52737,1979-01-26 01:00:00,274.42548,5.0654836,-2.123414,0.000694405
41.281,-72.52737,1979-01-27 01:00:00,275.5498,2.689495,-3.6851664,0.00015337761
41.281,-72.52737,1979-01-28 01:00:00,275.79755,4.359153,-2.6445475,0.0
41.281,-72.52737,1979-01-29 01:00:00,275.75787,3.9653063,-3.1057873,1.1574208e-05
41.281,-72.52737,1979-01-30 01:00:00,274.29456,6.455223,-4.996644,0.0
41.281,-72.52737,1979-01-31 01:00:00,272.21875,5.616023,-5.3644257,0.0
41.281,-72.52737,1979-02-01 01:00:00,271.3894,3.6340585,-3.1084595,0.0
41.281,-72.52737,1979-02-02 01:00:00,267.8623,6.0088806,-6.3178873,0.0
41.281,-72.52737,1979-02-03 01:00:00,268.48584,5.7815647,-5.749771,0.0
41.281,-72.52737,1979-02-04 01:00:00,271.12988,3.7815318,-4.318756,0.0
41.281,-72.52737,1979-02-05 01:00:00,273.52136,4.8736544,2.5255094,3.4937875e-07
41.281,-72.52737,1979-02-06 01:00:00,266.64514,9.267258,-4.753297,0.0
41.281,-72.52737,1979-02-07 01:00:00,267.29883,5.0401917,-3.3930817,0.0
41.281,-72.52737,1979-02-08 01:00:00,268.83667,-4.167039,-3.041977,0.0012782082
41.281,-72.52737,1979-02-09 01:00:00,270.0647,5.904394,-2.8940592,0.0
41.281,-72.52737,1979-02-10 01:00:00,263.67383,3.8762875,-6.139263,0.0
41.281,-72.52737,1979-02-11 01:00:00,263.33405,5.910508,-5.499069,1.6989434e-06
41.281,-72.52737,1979-02-12 01:00:00,260.44653,2.9070122,-4.4924383,0.0
41.281,-72.52737,1979-02-13 01:00:00,263.90613,0.69238293,-0.6742668,0.00025064874
41.281,-72.52737,1979-02-14 01:00:00,261.54822,3.9800777,-6.177063,0.0
41.281,-72.52737,1979-02-15 01:00:00,262.87073,4.4640045,-3.3285837,0.0
41.281,-72.52737,1979-02-16 01:00:00,265.29053,-0.23646355,-4.063507,0.0
41.281,-72.52737,1979-02-17 01:00:00,264.88098,1.9663994,-6.712308,0.0
41.281,-72.52737,1979-02-18 01:00:00,260.69638,2.8369517,-6.65973,0.0
41.281,-72.52737,1979-02-19 01:00:00,263.53528,0.05010891,1.7546673,0.0
41.281,-72.52737,1979-02-20 01:00:00,269.74695,0.029678345,-5.5110083,0.0
41.281,-72.52737,1979-02-21 01:00:00,271.59778,3.4237778,2.8256235,0.0
41.281,-72.52737,1979-02-22 01:00:00,277.35785,5.348711,3.8232546,6.531713e-05
41.281,-72.52737,1979-02-23 01:00:00,275.0431,1.3224242,-3.7859507,0.0
41.281,-72.52737,1979-02-24 01:00:00,275.17596,-4.780411,2.940978,1.6781616e-05
41.281,-72.52737,1979-02-25 01:00:00,277.24982,-1.0048466,-4.2879333,0.0022666405
41.281,-72.52737,1979-02-26 01:00:00,275.1355,-7.427307,-5.5152006,0.00017462953
41.281,-72.52737,1979-02-27 01:00:00,273.61365,-4.1175394,-4.233247,6.0687653e-05
41.281,-72.52737,1979-02-28 01:00:00,274.98083,4.712863,-1.9602299,9.640339e-06
41.281,-72.52737,1979-03-01 01:00:00,276.30786,1.5703819,-2.4399118,0.0
