latitude,longitude,time,t2m,u10,v10,tp
41.981,-73.62795,1979-01-01 01:00:00,276.00854,-0.8865061,2.3726234,3.481064e-05
41.981,-73.62795,1979-01-02 01:00:00,282.30267,0.26137298,3.371087,0.0002000892
41.981,-73.62795,1979-01-03 01:00:00,279.64258,0.97993153,-1.7218914,0.002687786
41.981,-73.62795,1979-01-04 01:00:00,260.98352,1.3809872,0.8220329,0.0
41.981,-73.62795,1979-01-05 01:00:00,264.7754,1.3103333,1.7198731,1.0726353e-08
41.981,-73.62795,1979-01-06 01:00:00,263.28198,-0.6465628,0.79798365,0.0
41.981,-73.62795,1979-01-07 01:00:00,268.7556,-0.041514635,1.3808203,1.9723502e-06
41.981,-73.62795,1979-01-08 01:00:00,275.70386,-0.6012354,1.8179274,0.000512803
41.981,-73.62795,1979-01-09 01:00:00,268.8993,1.3725147,-2.0978403,7.1661285e-05
41.981,-73.62795,1979-01-10 01:00:00,261.18457,0.8523123,1.793179,0.0
41.981,-73.62795,1979-01-11 01:00:00,261.6228,1.5007858,1.2145767,0.0
41.981,-73.62795,1979-01-12 01:00:00,256.44537,-0.95683575,-1.5729284,0.0
41.981,-73.62795,1979-01-13 01:00:00,263.36475,-0.8278208,0.5135908,0.00010106158
41.981,-73.62795,1979-01-14 01:00:00,273.521,-1.7884684,-0.75525856,0.00065157877
41.981,-73.62795,1979-01-15 01:00:00,272.208,3.639186,-2.055274,2.0150088e-05
41.981,-73.62795,1979-01-16 01:00:00,261.78735,0.9101126,2.0048208,0.0
41.981,-73.62795,1979-01-17 01:00:00,263.27954,0.8259378,-1.1725855,0.0
41.981,-73.62795,1979-01-18 01:00:00,270.2085,0.3429206,1.9887953,5.306543e-05
41.981,-73.62795,1979-01-19 01:00:00,257.93042,1.682353,-4.0831156,1.1189436e-06
41.981,-73.62795,1979-01-20 01:00:00,259.78638,-0.3838122,-1.2465363,2.0264687e-07
41.981,-73.62795,1979-01-21 01:00:00,267.24854,-0.78503036,0.55409175,0.0011558263
41.981,-73.62795,1979-01-22 01:00:00,277.70587,2.0244179,1.5894804,0.00024054329
41.981,-73.62795,1979-01-23 01:00:00,269.77917,2.1411037,-1.0276184,2.9349394e-06
41.981,-73.62795,1979-01-24 01:00:00,269.94067,-0.9200306,1.7489595,0.0
41.981,-73.62795,1979-01-25 01:00:00,275.28284,-5.779887,0.4985609,0.0012396623
41.981,-73.62795,1979-01-26 01:00:00,273.20575,1.3191456,-3.1240244,0.00058679347
41.981,-73.62795,1979-01-27 01:00:00,273.6161,0.84507376,-1.9134989,0.00026485563
41.981,-73.62795,1979-01-28 01:00:00,273.97687,1.5394506,-1.7105265,9.875657e-08
41.981,-73.62795,1979-01-29 01:00:00,274.2577,1.789403,-2.1256237,6.579641e-06
41.981,-73.62795,1979-01-30 01:00:00,271.52393,2.4868393,-3.0790415,1.8367712e-06
41.981,-73.62795,1979-01-31 01:00:00,268.90393,1.806819,-2.464035,5.595144e-06
41.981,-73.62795,1979-02-01 01:00:00,267.12085,1.1632333,-2.057495,7.989738e-06
41.981,-73.62795,1979-02-02 01:00:00,263.2157,1.9628601,-3.3357096,6.9004655e-06
41.981,-73.62795,1979-02-03 01:00:00,262.9884,1.6475315,-2.8637848,5.4266197e-06
41.981,-73.62795,1979-02-04 01:00:00,264.39355,0.6730114,-1.7834778,0.0
41.981,-73.62795,1979-02-05 01:00:00,269.82812,2.4157686,0.32348305,1.2003657e-05
41.981,-73.62795,1979-02-06 01:00:00,260.47046,3.239914,-1.9884043,3.9756524e-06
41.981,-73.62795,1979-02-07 01:00:00,260.65283,1.169342,-1.6451569,0.0
41.981,-73.62795,1979-02-08 01:00:00,266.5724,-0.26652622,-1.029953,0.0006246364
41.981,-73.62795,1979-02-09 01:00:00,263.40454,1.3020992,-1.3321695,1.7591783e-06
41.981,-73.62795,1979-02-10 01:00:00,256.4453,1.5555477,-2.6152153,5.342783e-07
41.981,-73.62795,1979-02-11 01:00:00,256.3969,1.7761087,-2.2501678,2.943416e-07
41.981,-73.62795,1979-02-12 01:00:00,252.99562,0.19705138,-1.5451727,0.0
41.981,-73.62795,1979-02-13 01:00:00,259.7561,-0.62115467,-0.9188347,8.78282e-05
41.981,-73.62795,1979-02-14 01:00:00,254.56871,1.4257565,-2.6029663,1.0168196e-07
41.981,-73.62795,1979-02-15 01:00:00,255.1344,0.24879432,-1.3582468,0.0
41.981,-73.62795,1979-02-16 01:00:00,259.073,-1.0852184,-0.92214966,0.0
41.981,-73.62795,1979-02-17 01:00:00,259.6825,1.6697991,-3.1697054,9.940861e-07
41.981,-73.62795,1979-02-18 01:00:00,253.93735,0.9087292,-2.7302866,0.0
41.981,-73.62795,1979-02-19 01:00:00,259.33704,-0.7000742,1.1820049,0.0
41.981,-73.62795,1979-02-20 01:00:00,264.2151,-0.21836853,-1.8772192,0.0
41.981,-73.62795,1979-02-21 01:00:00,269.8241,0.13227382,2.2628794,0.0
41.981,-73.62795,1979-02-22 01:00:00,275.45868,0.74421877,2.540906,2.5446661e-06
41.981,-73.62795,1979-02-23 01:00:00,271.97412,-0.14266366,-1.9735727,0.0
41.981,-73.62795,1979-02-24 01:00:00,273.75464,-1.4319,2.5961294,2.1317855e-05
41.981,-73.62795,1979-02-25 01:00:00,275.6714,-0.12853432,-2.3971252,0.00085835694
41.981,-73.62795,1979-02-26 01:00:00,274.65918,-2.9251099,-1.8556547,6.1030325e-05
41.981,-73.62795,1979-02-27 01:00:00,272.36755,-1.9234476,-1.6388865,3.7906077e-05
41.981,-73.62795,1979-02-28 01:00:00,270.78284,1.6828337,-2.3261356,2.4462253e-05
41.981,-73.62795,1979-03-01 01:00:00,272.96924,-0.6022866,-1.1419992,0.0
41.981,-73.62795,1979-03-02 01:00:00,275.82855,-1.2796478,1.9011257,0.0
41.981,-73.62795,1979-03-03 01:00:00,275.1963,-0.9469757,-0.8567209,1.3558792e-07
41.981,-73.62795,1979-03-04 01:00:00,275.18158,-0.780076,2.2086053,1.4220655e-05
41.981,-73.62795,1979-03-05 01:00:00,280.29977,-0.860672,2.9874544,1.99356e-05
41.981,-73.62795,1979-03-06 01:00:00,282.7182,-0.78152657,3.22225,5.046799e-06
41.981,-73.62795,1979-03-07 01:00:00,281.5028,0.059426367,1.0700388,0.0030919376
41.981,-73.62795,1979-03-08 01:00:00,277.3416,0.3078016,-1.8985262,0.0
41.981,-73.62795,1979-03-09 01:00:00,275.34888,-0.26889414,-1.6914825,0.0
41.981,-73.62795,1979-03-10 01:00:00,275.39368,-1.6182528,-0.3430481,0.0
41.981,-73.62795,1979-03-11 01:00:00,279.00305,-0.4094848,1.559423,0.00089457736
41.981,-73.62795,1979-03-12 01:00:00,267.39783,2.536456,-3.0041504,2.959745e-06
41.981,-73.62795,1979-03-13 01:00:00,268.7185,2.1742735,-1.9442606,0.0
41.981,-73.62795,1979-03-14 01:00:00,274.5381,-0.26951873,3.1228657,0.0
41.981,-73.62795,1979-03-15 01:00:00,275.75073,2.0967283,-1.9516745,4.1163352e-05
41.981,-73.62795,1979-03-16 01:00:00,264.72864,1.91893,-2.2579193,0.0
41.981,-73.62795,1979-03-17 01:00:00,270.59497,-1.0038328,-1.0388412,1.01126915e-07
41.981,-73.62795,1979-03-18 01:00:00,272.4513,-0.84545326,-1.629365,0.0
41.981,-73.62795,1979-03-19 01:00:00,271.97974,0.1407156,-2.4577484,0.0
41.981,-73.62795,1979-03-20 01:00:00,274.292,-0.40602916,-2.6800127,0.0
41.981,-73.62795,1979-03-21 01:00:00,276.78625,-0.25595468,-3.6646156,0.0
41.981,-73.62795,1979-03-22 01:00:00,279.14893,-0.46807957,-2.0986156,0.0
41.981,-73.62795,1979-03-23 01:00:00,281.68262,-1.4004364,-0.78994083,0.0
41.981,-73.62795,1979-03-24 01:00:00,281.2636,-0.8441328,2.9119673,0.0
41.981,-73.62795,1979-03-25 01:00:00,282.4906,-3.9495096,3.0335093,0.0014106912
41.981,-73.62795,1979-03-26 01:00:00,280.8081,0.05214691,1.8804617,0.00050665846
